id	locationID	countryCode	establishmentMeans	occurrenceRemarks
8535	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8535	BR-PE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8537	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8539	BR-RJ	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8539	BR-RS	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8539	BR-MG	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8539	BR-SP	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8539	BR-MS	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8539	BR-PR	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8539	BR-SC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica","Pampa"]}
8541	BR-SP	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-RJ	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-GO	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-DF	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-BA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-MG	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-ES	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-AC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-PR	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8541	BR-SC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Cerrado","Mata Atlântica"]}
8542	BR-BA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Mata Atlântica"]}
8542	BR-RJ	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Mata Atlântica"]}
8542	BR-ES	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Mata Atlântica"]}
8542	BR-MG	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Mata Atlântica"]}
8542	BR-MT	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-PR	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-PB	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-PE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8543	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8545	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8545	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8546	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8546	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8547	BR-RO	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8547	BR-MT	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8547	BR-RJ	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8547	BR-ES	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8547	BR-PA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8547	BR-AM	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8547	BR-AC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8547	BR-BA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8548	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8550	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8551	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8552	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8552	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8553	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8554	BR-MT	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-PI	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-AP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-PB	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-PE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-MA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-PA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-SE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-AL	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-RN	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-CE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8554	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8555	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8557	BR-AC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-CE	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-AM	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-PB	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-MA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-PE	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-MT	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-RO	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
