id	relatedResourceID	relationshipOfResource
56281	17505	É sinônimo HETEROTIPICO
54534	17505	É sinônimo HOMOTIPICO
54535	17505	É sinônimo HETEROTIPICO
35952	17505	É sinônimo HETEROTIPICO
138876	85767	É sinônimo BASIONIMO
28421	111833	É sinônimo HOMOTIPICO
67714	65443	É sinônimo BASIONIMO
66720	37662	É sinônimo HETEROTIPICO
66852	37662	É sinônimo HOMOTIPICO
68772	37662	É sinônimo HOMOTIPICO
66751	37662	É sinônimo HETEROTIPICO
66853	37662	É sinônimo HETEROTIPICO
66756	37662	É sinônimo HETEROTIPICO
66856	37662	É sinônimo HETEROTIPICO
68775	37662	É sinônimo HETEROTIPICO
66788	37662	É sinônimo HETEROTIPICO
66833	37662	É sinônimo HETEROTIPICO
66860	37662	É sinônimo HETEROTIPICO
68779	37662	É sinônimo HETEROTIPICO
66838	37662	É sinônimo HETEROTIPICO
610018	26211	É sinônimo HOMOTIPICO
610056	26227	É sinônimo HOMOTIPICO
610406	26229	É sinônimo BASIONIMO
16506	105456	É sinônimo BASIONIMO
104837	27170	É sinônimo HOMOTIPICO
81485	16663	É sinônimo HOMOTIPICO
617201	106950	É sinônimo BASIONIMO
116932	106950	É sinônimo HETEROTIPICO
617202	106950	É sinônimo HETEROTIPICO
116933	26231	É sinônimo HOMOTIPICO
114952	27439	É sinônimo BASIONIMO
104681	104680	É sinônimo HETEROTIPICO
620029	10136	É sinônimo HETEROTIPICO
620030	10136	É sinônimo HETEROTIPICO
620031	10136	É sinônimo HETEROTIPICO
594527	10136	É sinônimo HETEROTIPICO
128141	34288	É sinônimo HETEROTIPICO
599685	30429	É sinônimo BASIONIMO
60097	60105	É sinônimo BASIONIMO
56189	36168	É sinônimo HETEROTIPICO
129893	8642	É sinônimo BASIONIMO
608770	9543	É sinônimo HOMOTIPICO
53680	29076	É sinônimo HETEROTIPICO
17394	29076	É sinônimo HETEROTIPICO
109752	29076	É sinônimo HETEROTIPICO
53664	29076	É sinônimo HETEROTIPICO
53681	29076	É sinônimo HETEROTIPICO
53682	29076	É sinônimo HETEROTIPICO
109808	29076	É sinônimo HETEROTIPICO
53665	29076	É sinônimo HETEROTIPICO
53666	29076	É sinônimo HETEROTIPICO
53683	29076	É sinônimo HETEROTIPICO
53684	29076	É sinônimo HETEROTIPICO
109802	29076	É sinônimo HETEROTIPICO
53028	29076	É sinônimo HOMOTIPICO
53158	29076	É sinônimo HOMOTIPICO
53484	29076	É sinônimo BASIONIMO
53447	29076	É sinônimo HETEROTIPICO
53005	29076	É sinônimo HETEROTIPICO
54349	36045	É sinônimo HOMOTIPICO
55161	36045	É sinônimo HETEROTIPICO
29157	36045	É sinônimo HETEROTIPICO
55275	36045	É sinônimo HETEROTIPICO
54142	36045	É sinônimo HETEROTIPICO
126540	114524	É sinônimo BASIONIMO
27508	114524	É sinônimo HETEROTIPICO
136579	114524	É sinônimo HOMOTIPICO
136582	114524	É sinônimo HETEROTIPICO
595154	603154	É sinônimo HOMOTIPICO
633578	603154	É sinônimo BASIONIMO
67008	38095	É sinônimo HOMOTIPICO
65309	38095	É sinônimo BASIONIMO
66787	11689	É sinônimo HETEROTIPICO
66717	11689	É sinônimo HETEROTIPICO
66716	11689	É sinônimo HETEROTIPICO
66715	11689	É sinônimo HETEROTIPICO
80774	22252	É sinônimo BASIONIMO
132265	25693	É sinônimo HETEROTIPICO
132143	25693	É sinônimo HETEROTIPICO
129867	25693	É sinônimo HETEROTIPICO
53653	135425	É sinônimo HETEROTIPICO
29020	135425	É sinônimo HETEROTIPICO
53377	135425	É sinônimo HETEROTIPICO
35573	17404	É sinônimo HETEROTIPICO
35574	17404	É sinônimo HOMOTIPICO
53535	17404	É sinônimo BASIONIMO
53065	17404	É sinônimo HOMOTIPICO
640025	25965	É sinônimo BASIONIMO
45910	5941	É sinônimo HETEROTIPICO
67729	136724	É sinônimo BASIONIMO
79979	111267	É sinônimo HOMOTIPICO
21744	111267	É sinônimo HOMOTIPICO
594585	111267	É sinônimo HETEROTIPICO
631162	111267	É sinônimo BASIONIMO
59286	30136	É sinônimo HOMOTIPICO
605182	32863	É sinônimo HOMOTIPICO
129000	91871	É sinônimo BASIONIMO
604400	14755	É sinônimo HETEROTIPICO
14855	88107	É sinônimo HETEROTIPICO
57822	36392	É sinônimo HETEROTIPICO
58084	36392	É sinônimo HOMOTIPICO
605477	36392	É sinônimo HETEROTIPICO
123442	110056	É sinônimo HOMOTIPICO
58100	30064	É sinônimo HOMOTIPICO
605428	116180	É sinônimo HETEROTIPICO
609640	9640	É sinônimo HOMOTIPICO
58063	30062	É sinônimo HETEROTIPICO
57813	30062	É sinônimo HOMOTIPICO
58069	30062	É sinônimo HETEROTIPICO
57830	30062	É sinônimo HETEROTIPICO
58096	30062	É sinônimo HETEROTIPICO
69582	600132	É sinônimo BASIONIMO
137373	138637	É sinônimo HETEROTIPICO
605197	106099	É sinônimo HOMOTIPICO
99442	99440	É sinônimo HETEROTIPICO
133199	99440	É sinônimo HETEROTIPICO
69592	11616	É sinônimo BASIONIMO
68078	11616	É sinônimo HOMOTIPICO
65418	11616	É sinônimo HETEROTIPICO
11609	11616	É sinônimo HETEROTIPICO
70426	11616	É sinônimo HETEROTIPICO
66608	11616	É sinônimo HETEROTIPICO
582552	11616	É sinônimo HETEROTIPICO
12171	11616	É sinônimo HETEROTIPICO
66884	11616	É sinônimo HETEROTIPICO
66616	11616	É sinônimo HETEROTIPICO
582558	11616	É sinônimo HETEROTIPICO
12175	11616	É sinônimo HETEROTIPICO
117243	11616	É sinônimo HETEROTIPICO
117239	11616	É sinônimo HETEROTIPICO
66614	11616	É sinônimo HETEROTIPICO
11207	11616	É sinônimo HETEROTIPICO
11208	11616	É sinônimo HETEROTIPICO
117241	11616	É sinônimo HETEROTIPICO
66605	11616	É sinônimo HETEROTIPICO
596361	11616	É sinônimo HETEROTIPICO
69608	11616	É sinônimo HETEROTIPICO
597101	11616	É sinônimo HOMOTIPICO
66624	11616	É sinônimo HETEROTIPICO
65418	596361	É sinônimo BASIONIMO
64578	11193	É sinônimo BASIONIMO
20711	39384	É sinônimo HOMOTIPICO
32541	39402	É sinônimo HOMOTIPICO
92169	582939	É sinônimo HOMOTIPICO
133129	582939	É sinônimo BASIONIMO
133129	92169	É sinônimo BASIONIMO
41892	4849	É sinônimo HETEROTIPICO
119931	119932	É sinônimo BASIONIMO
57814	134797	É sinônimo HOMOTIPICO
54260	25465	É sinônimo HETEROTIPICO
54261	25465	É sinônimo HETEROTIPICO
20706	39397	É sinônimo BASIONIMO
115585	92221	É sinônimo HETEROTIPICO
92292	92221	É sinônimo HETEROTIPICO
57837	8074	É sinônimo HOMOTIPICO
36389	8074	É sinônimo HETEROTIPICO
56426	132947	É sinônimo HOMOTIPICO
581462	95871	É sinônimo BASIONIMO
26717	4632	É sinônimo HOMOTIPICO
617265	101092	É sinônimo HETEROTIPICO
612648	12986	É sinônimo HETEROTIPICO
600740	111587	É sinônimo HETEROTIPICO
117452	91703	É sinônimo BASIONIMO
104321	126591	É sinônimo HETEROTIPICO
289	739	É sinônimo HOMOTIPICO
67775	70590	É sinônimo BASIONIMO
125100	125088	É sinônimo HOMOTIPICO
16638	6512	É sinônimo HETEROTIPICO
124918	23469	É sinônimo BASIONIMO
605823	23469	É sinônimo HOMOTIPICO
37095	61182	É sinônimo BASIONIMO
62615	63899	É sinônimo HOMOTIPICO
603939	6720	É sinônimo BASIONIMO
73824	39221	É sinônimo HOMOTIPICO
75301	39221	É sinônimo HOMOTIPICO
634612	102521	É sinônimo HETEROTIPICO
634620	102521	É sinônimo HETEROTIPICO
634625	102521	É sinônimo HETEROTIPICO
59356	8229	É sinônimo HOMOTIPICO
138730	21678	É sinônimo HETEROTIPICO
138728	21678	É sinônimo BASIONIMO
67160	11669	É sinônimo HETEROTIPICO
136960	104760	É sinônimo BASIONIMO
128240	21056	É sinônimo HOMOTIPICO
128241	21056	É sinônimo HETEROTIPICO
128242	21056	É sinônimo HETEROTIPICO
593807	21056	É sinônimo BASIONIMO
597350	21056	É sinônimo HOMOTIPICO
110856	110682	É sinônimo HOMOTIPICO
580647	97483	É sinônimo HETEROTIPICO
580648	97483	É sinônimo HETEROTIPICO
580650	97483	É sinônimo HETEROTIPICO
580833	97518	É sinônimo HOMOTIPICO
67203	38276	É sinônimo BASIONIMO
75736	14516	É sinônimo HETEROTIPICO
75764	14516	É sinônimo HETEROTIPICO
75656	14516	É sinônimo HETEROTIPICO
75774	14516	É sinônimo HETEROTIPICO
76090	14516	É sinônimo HETEROTIPICO
76126	14516	É sinônimo HETEROTIPICO
75661	14516	É sinônimo HOMOTIPICO
75710	14516	É sinônimo HOMOTIPICO
76224	14516	É sinônimo HOMOTIPICO
76131	14516	É sinônimo HETEROTIPICO
75799	14516	É sinônimo HETEROTIPICO
76134	14516	É sinônimo HETEROTIPICO
76127	14516	É sinônimo HOMOTIPICO
76128	14516	É sinônimo HETEROTIPICO
130216	14516	É sinônimo BASIONIMO
582645	582647	É sinônimo BASIONIMO
598768	108375	É sinônimo BASIONIMO
611310	108375	É sinônimo HOMOTIPICO
70038	133865	É sinônimo BASIONIMO
112050	83441	É sinônimo HETEROTIPICO
23093	83441	É sinônimo HOMOTIPICO
124819	83441	É sinônimo HETEROTIPICO
62739	62195	É sinônimo HOMOTIPICO
33477	40642	É sinônimo HETEROTIPICO
87459	87574	É sinônimo HETEROTIPICO
74435	24604	É sinônimo HOMOTIPICO
74452	24604	É sinônimo HETEROTIPICO
131231	131635	É sinônimo BASIONIMO
617236	129490	É sinônimo BASIONIMO
621695	139054	É sinônimo BASIONIMO
621708	139054	É sinônimo HETEROTIPICO
621898	139054	É sinônimo HETEROTIPICO
621902	139054	É sinônimo HETEROTIPICO
621910	139054	É sinônimo HETEROTIPICO
621929	139054	É sinônimo HETEROTIPICO
621930	139054	É sinônimo HETEROTIPICO
621931	139054	É sinônimo HETEROTIPICO
621932	139054	É sinônimo HOMOTIPICO
579455	121826	É sinônimo HOMOTIPICO
609925	77786	É sinônimo HOMOTIPICO
40512	40581	É sinônimo BASIONIMO
70048	32045	É sinônimo BASIONIMO
46671	27695	É sinônimo BASIONIMO
118420	118419	É sinônimo HETEROTIPICO
32693	125247	É sinônimo HETEROTIPICO
16148	130525	É sinônimo BASIONIMO
100533	100530	É sinônimo HETEROTIPICO
582296	25392	É sinônimo BASIONIMO
41428	4593	É sinônimo BASIONIMO
135553	91206	É sinônimo BASIONIMO
86583	24209	É sinônimo HETEROTIPICO
604014	24209	
32301	123670	É sinônimo BASIONIMO
139663	139640	É sinônimo HOMOTIPICO
74697	20711	É sinônimo HOMOTIPICO
74698	20711	É sinônimo HOMOTIPICO
29275	17497	É sinônimo HETEROTIPICO
54079	17497	É sinônimo HETEROTIPICO
54124	17497	É sinônimo HETEROTIPICO
54126	17497	É sinônimo HETEROTIPICO
54162	17497	É sinônimo HETEROTIPICO
54201	17497	É sinônimo HETEROTIPICO
54211	17497	É sinônimo HETEROTIPICO
54215	17497	É sinônimo HETEROTIPICO
54216	17497	É sinônimo HETEROTIPICO
54217	17497	É sinônimo HETEROTIPICO
54282	17497	É sinônimo HETEROTIPICO
54285	17497	É sinônimo HETEROTIPICO
54286	17497	É sinônimo HETEROTIPICO
54288	17497	É sinônimo HETEROTIPICO
54403	17497	É sinônimo HETEROTIPICO
54415	17497	É sinônimo HETEROTIPICO
54420	17497	É sinônimo HETEROTIPICO
54470	17497	É sinônimo HETEROTIPICO
54479	17497	É sinônimo HETEROTIPICO
54886	17497	É sinônimo HETEROTIPICO
54887	17497	É sinônimo HETEROTIPICO
54912	17497	É sinônimo HETEROTIPICO
55058	17497	É sinônimo HETEROTIPICO
55088	17497	É sinônimo HETEROTIPICO
55103	17497	É sinônimo HETEROTIPICO
55106	17497	É sinônimo HETEROTIPICO
55368	17497	É sinônimo HETEROTIPICO
55449	17497	É sinônimo HETEROTIPICO
55450	17497	É sinônimo HETEROTIPICO
55466	17497	É sinônimo HETEROTIPICO
55534	17497	É sinônimo HETEROTIPICO
55535	17497	É sinônimo HETEROTIPICO
55542	17497	É sinônimo HETEROTIPICO
55545	17497	É sinônimo HETEROTIPICO
55549	17497	É sinônimo HETEROTIPICO
55551	17497	É sinônimo HETEROTIPICO
55860	17497	É sinônimo HETEROTIPICO
55862	17497	É sinônimo HETEROTIPICO
55864	17497	É sinônimo HETEROTIPICO
55865	17497	É sinônimo HETEROTIPICO
55869	17497	É sinônimo HETEROTIPICO
55876	17497	É sinônimo HETEROTIPICO
55883	17497	É sinônimo HETEROTIPICO
55891	17497	É sinônimo HETEROTIPICO
55953	17497	É sinônimo HETEROTIPICO
56171	17497	É sinônimo HETEROTIPICO
56179	17497	É sinônimo HETEROTIPICO
56226	17497	É sinônimo HETEROTIPICO
56229	17497	É sinônimo HETEROTIPICO
56234	17497	É sinônimo HETEROTIPICO
56542	17497	É sinônimo HETEROTIPICO
56578	17497	É sinônimo HETEROTIPICO
56615	17497	É sinônimo HETEROTIPICO
56616	17497	É sinônimo HETEROTIPICO
56617	17497	É sinônimo HETEROTIPICO
56632	17497	É sinônimo HETEROTIPICO
57214	17497	É sinônimo HETEROTIPICO
57343	17497	É sinônimo HETEROTIPICO
57344	17497	É sinônimo HETEROTIPICO
57464	17497	É sinônimo HETEROTIPICO
57465	17497	É sinônimo HETEROTIPICO
56258	17497	É sinônimo HETEROTIPICO
54325	17497	É sinônimo HETEROTIPICO
121691	13159	É sinônimo BASIONIMO
100535	100534	É sinônimo HETEROTIPICO
100536	100534	É sinônimo BASIONIMO
100531	100534	É sinônimo HETEROTIPICO
32301	124025	É sinônimo BASIONIMO
123670	124025	É sinônimo HETEROTIPICO
50059	34969	É sinônimo HETEROTIPICO
138210	15093	É sinônimo HETEROTIPICO
636169	15093	É sinônimo HOMOTIPICO
68069	38020	É sinônimo BASIONIMO
68075	38020	É sinônimo HETEROTIPICO
68080	38020	É sinônimo HETEROTIPICO
68071	38020	É sinônimo BASIONIMO
16567	46470	É sinônimo BASIONIMO
64839	67515	É sinônimo BASIONIMO
69866	11014	É sinônimo HOMOTIPICO
68993	11014	É sinônimo BASIONIMO
84975	9218	É sinônimo HETEROTIPICO
632060	9218	É sinônimo HETEROTIPICO
128816	106635	É sinônimo HETEROTIPICO
128817	106635	É sinônimo HETEROTIPICO
128818	106635	É sinônimo HETEROTIPICO
128819	106635	É sinônimo HETEROTIPICO
128821	106635	É sinônimo HETEROTIPICO
45802	6149	É sinônimo HOMOTIPICO
46882	6149	É sinônimo HOMOTIPICO
46397	6149	É sinônimo BASIONIMO
46519	6149	É sinônimo HOMOTIPICO
73601	39142	É sinônimo HETEROTIPICO
73765	39142	É sinônimo HOMOTIPICO
73607	39142	É sinônimo HETEROTIPICO
622821	84260	É sinônimo BASIONIMO
9869	102256	É sinônimo HOMOTIPICO
102257	102256	É sinônimo HETEROTIPICO
102258	102256	É sinônimo HETEROTIPICO
130756	102256	É sinônimo HETEROTIPICO
41724	33740	É sinônimo HETEROTIPICO
21930	21928	É sinônimo HETEROTIPICO
41090	21928	É sinônimo HOMOTIPICO
66854	20068	É sinônimo HOMOTIPICO
579784	96498	É sinônimo HOMOTIPICO
579829	96498	É sinônimo HETEROTIPICO
581012	96498	É sinônimo HETEROTIPICO
126502	102185	É sinônimo BASIONIMO
581642	96989	É sinônimo BASIONIMO
136702	109616	É sinônimo HOMOTIPICO
136703	109616	É sinônimo HETEROTIPICO
136704	109616	É sinônimo HETEROTIPICO
51026	34903	É sinônimo HOMOTIPICO
52495	34903	É sinônimo HOMOTIPICO
51419	34903	É sinônimo HOMOTIPICO
52277	34903	É sinônimo BASIONIMO
50685	34903	É sinônimo HOMOTIPICO
581447	96843	É sinônimo BASIONIMO
20617	139650	É sinônimo HOMOTIPICO
68632	68021	É sinônimo BASIONIMO
132875	132672	É sinônimo BASIONIMO
55711	25470	É sinônimo HOMOTIPICO
108528	81613	É sinônimo HETEROTIPICO
51718	17263	É sinônimo HETEROTIPICO
50466	17263	É sinônimo BASIONIMO
594057	22401	É sinônimo HETEROTIPICO
600541	22401	É sinônimo HETEROTIPICO
613626	22401	É sinônimo HETEROTIPICO
613627	22401	É sinônimo HETEROTIPICO
613628	22401	É sinônimo HETEROTIPICO
613629	22401	É sinônimo HETEROTIPICO
613236	22401	É sinônimo HETEROTIPICO
613630	22401	É sinônimo HETEROTIPICO
613631	22401	É sinônimo HETEROTIPICO
638557	124050	É sinônimo BASIONIMO
55182	57367	É sinônimo BASIONIMO
28577	35269	É sinônimo HETEROTIPICO
52396	35269	É sinônimo HETEROTIPICO
619388	1620	É sinônimo BASIONIMO
580191	96701	É sinônimo HETEROTIPICO
580197	96701	É sinônimo HETEROTIPICO
580201	96701	É sinônimo HETEROTIPICO
580177	96701	É sinônimo BASIONIMO
581271	96701	É sinônimo HOMOTIPICO
581274	96701	É sinônimo HETEROTIPICO
581275	96701	É sinônimo HETEROTIPICO
581276	96701	É sinônimo HETEROTIPICO
641389	137724	É sinônimo HETEROTIPICO
582596	582599	É sinônimo BASIONIMO
56726	35629	É sinônimo HOMOTIPICO
72227	38801	É sinônimo HETEROTIPICO
73078	38801	É sinônimo HETEROTIPICO
20430	116707	É sinônimo BASIONIMO
599341	84051	É sinônimo HOMOTIPICO
134531	84051	É sinônimo BASIONIMO
598264	84051	É sinônimo HOMOTIPICO
117372	91172	É sinônimo BASIONIMO
138578	91172	É sinônimo HOMOTIPICO
128221	86700	É sinônimo BASIONIMO
597828	86700	É sinônimo BASIONIMO
31660	62641	É sinônimo BASIONIMO
641379	137729	É sinônimo HETEROTIPICO
583293	14454	É sinônimo HOMOTIPICO
639084	103768	É sinônimo HOMOTIPICO
48823	34848	É sinônimo BASIONIMO
68623	68741	É sinônimo BASIONIMO
599076	51637	É sinônimo HETEROTIPICO
19504	101451	É sinônimo HOMOTIPICO
623045	101451	É sinônimo BASIONIMO
128842	109927	É sinônimo BASIONIMO
65399	11780	É sinônimo HOMOTIPICO
70343	11780	É sinônimo BASIONIMO
595997	11780	É sinônimo HOMOTIPICO
603329	603318	É sinônimo BASIONIMO
98728	98727	É sinônimo BASIONIMO
615475	20499	É sinônimo BASIONIMO
582997	582998	É sinônimo HETEROTIPICO
67256	65191	É sinônimo HETEROTIPICO
67208	65191	É sinônimo HETEROTIPICO
38297	65191	É sinônimo HOMOTIPICO
67289	65191	É sinônimo HETEROTIPICO
67255	65191	É sinônimo HOMOTIPICO
65347	65191	É sinônimo HOMOTIPICO
64707	65191	É sinônimo HOMOTIPICO
64647	65191	É sinônimo HOMOTIPICO
11723	65191	É sinônimo HOMOTIPICO
64622	65191	É sinônimo HETEROTIPICO
600524	65191	É sinônimo HOMOTIPICO
91241	91239	É sinônimo BASIONIMO
4779	138639	É sinônimo HOMOTIPICO
600303	138639	É sinônimo HETEROTIPICO
72495	32589	É sinônimo HETEROTIPICO
80346	131320	É sinônimo HOMOTIPICO
131368	131320	É sinônimo BASIONIMO
131592	131320	É sinônimo HOMOTIPICO
131625	131320	É sinônimo HOMOTIPICO
603318	603317	É sinônimo HOMOTIPICO
603329	603317	É sinônimo BASIONIMO
127558	603317	É sinônimo HETEROTIPICO
100243	100240	É sinônimo BASIONIMO
115841	100240	É sinônimo HETEROTIPICO
596582	8468	É sinônimo BASIONIMO
579803	96155	É sinônimo HOMOTIPICO
100255	100252	É sinônimo BASIONIMO
100254	100252	É sinônimo HETEROTIPICO
582106	100252	É sinônimo HETEROTIPICO
36350	58146	É sinônimo HOMOTIPICO
53417	35517	É sinônimo HOMOTIPICO
53184	35517	É sinônimo BASIONIMO
