id	relatedResourceID	relationshipOfResource
99957	125556	É sinônimo HOMOTIPICO
131022	131866	É sinônimo BASIONIMO
125597	125557	É sinônimo BASIONIMO
109691	125557	É sinônimo HOMOTIPICO
100108	100102	É sinônimo HETEROTIPICO
100111	100102	É sinônimo HETEROTIPICO
100106	100102	É sinônimo HETEROTIPICO
100105	100102	É sinônimo HETEROTIPICO
100107	100102	É sinônimo HETEROTIPICO
100110	100102	É sinônimo HETEROTIPICO
100112	100102	É sinônimo BASIONIMO
132040	131871	É sinônimo BASIONIMO
100655	100653	É sinônimo BASIONIMO
131966	131959	É sinônimo HOMOTIPICO
100475	132000	É sinônimo BASIONIMO
107557	107129	
107131	107129	É sinônimo HETEROTIPICO
4731	130345	É sinônimo HOMOTIPICO
4689	131800	
131049	131800	
68282	582513	É sinônimo BASIONIMO
64283	582513	É sinônimo HOMOTIPICO
122036	582513	É sinônimo HETEROTIPICO
68298	582513	É sinônimo HETEROTIPICO
68247	582513	É sinônimo HETEROTIPICO
37949	582513	É sinônimo HETEROTIPICO
64278	582513	É sinônimo HETEROTIPICO
131600	131558	É sinônimo BASIONIMO
21923	131771	É sinônimo HOMOTIPICO
131374	131771	É sinônimo BASIONIMO
73923	132097	É sinônimo HETEROTIPICO
73849	132097	É sinônimo HETEROTIPICO
73992	132097	É sinônimo HETEROTIPICO
32648	132097	É sinônimo HOMOTIPICO
72059	132097	
137510	82150	É sinônimo BASIONIMO
100758	100761	É sinônimo HETEROTIPICO
100766	100761	É sinônimo BASIONIMO
99790	99788	É sinônimo HETEROTIPICO
131154	99788	É sinônimo BASIONIMO
70091	132072	É sinônimo BASIONIMO
48460	48729	É sinônimo BASIONIMO
12672	132176	É sinônimo HETEROTIPICO
600328	132176	É sinônimo HETEROTIPICO
601129	132176	É sinônimo HETEROTIPICO
135160	129907	É sinônimo HETEROTIPICO
26353	132188	É sinônimo BASIONIMO
101977	94868	É sinônimo HETEROTIPICO
101992	94868	É sinônimo HOMOTIPICO
8654	132245	É sinônimo HETEROTIPICO
15450	132200	É sinônimo BASIONIMO
631139	132249	É sinônimo BASIONIMO
4321	132227	É sinônimo BASIONIMO
107362	107364	
43762	34004	É sinônimo HETEROTIPICO
43763	34004	É sinônimo HETEROTIPICO
43845	34004	É sinônimo HETEROTIPICO
123778	107395	
631127	132284	É sinônimo BASIONIMO
133935	130642	
25100	132334	É sinônimo BASIONIMO
107448	107446	É sinônimo HETEROTIPICO
133458	107446	
132344	132346	É sinônimo BASIONIMO
132750	57945	É sinônimo HETEROTIPICO
638019	57945	É sinônimo HETEROTIPICO
638023	57945	É sinônimo HETEROTIPICO
130060	108728	É sinônimo BASIONIMO
116054	132409	É sinônimo HETEROTIPICO
116070	132409	É sinônimo BASIONIMO
132379	132374	É sinônimo BASIONIMO
107529	107528	É sinônimo HETEROTIPICO
107522	130349	É sinônimo HOMOTIPICO
124649	132427	É sinônimo HOMOTIPICO
124370	13233	É sinônimo HETEROTIPICO
111891	132471	É sinônimo HETEROTIPICO
133396	132471	É sinônimo BASIONIMO
634250	110769	É sinônimo HETEROTIPICO
107663	107662	É sinônimo HETEROTIPICO
99420	104454	É sinônimo BASIONIMO
99419	104454	É sinônimo HETEROTIPICO
99421	104454	É sinônimo HETEROTIPICO
59240	132550	É sinônimo HOMOTIPICO
58697	132550	É sinônimo HETEROTIPICO
8197	132550	É sinônimo BASIONIMO
58660	132550	É sinônimo HETEROTIPICO
600807	132550	É sinônimo HETEROTIPICO
99375	99374	É sinônimo HOMOTIPICO
30141	132555	É sinônimo BASIONIMO
104458	104452	É sinônimo BASIONIMO
99427	99426	É sinônimo HETEROTIPICO
58741	132551	É sinônimo HETEROTIPICO
59270	132551	É sinônimo HOMOTIPICO
59274	132551	É sinônimo HETEROTIPICO
36541	132551	É sinônimo BASIONIMO
8207	132553	É sinônimo HOMOTIPICO
30142	132556	É sinônimo BASIONIMO
8233	132558	É sinônimo BASIONIMO
58931	132549	É sinônimo HETEROTIPICO
58934	132549	É sinônimo HETEROTIPICO
59439	132549	É sinônimo HETEROTIPICO
59208	132549	É sinônimo HOMOTIPICO
8185	132549	É sinônimo BASIONIMO
133849	133704	
133581	133579	É sinônimo BASIONIMO
111318	130855	É sinônimo HOMOTIPICO
5320	130857	É sinônimo BASIONIMO
16130	130865	É sinônimo HOMOTIPICO
117284	130865	É sinônimo BASIONIMO
27072	130854	É sinônimo HOMOTIPICO
117291	130854	É sinônimo BASIONIMO
117281	130848	É sinônimo BASIONIMO
5318	130848	É sinônimo HOMOTIPICO
5326	130873	É sinônimo BASIONIMO
5330	130878	É sinônimo HOMOTIPICO
117286	130878	É sinônimo BASIONIMO
599213	130909	É sinônimo HETEROTIPICO
88346	130939	É sinônimo HETEROTIPICO
620257	130939	É sinônimo HETEROTIPICO
620262	130939	É sinônimo BASIONIMO
5324	130867	É sinônimo HOMOTIPICO
117288	130867	É sinônimo BASIONIMO
55533	130757	É sinônimo BASIONIMO
91304	130938	É sinônimo BASIONIMO
5322	130864	É sinônimo HOMOTIPICO
117283	130864	É sinônimo BASIONIMO
106376	130852	É sinônimo BASIONIMO
27073	130860	É sinônimo BASIONIMO
105444	105443	É sinônimo BASIONIMO
131231	131011	É sinônimo BASIONIMO
131632	131030	É sinônimo BASIONIMO
131377	131041	É sinônimo BASIONIMO
596715	97131	É sinônimo BASIONIMO
76280	131060	É sinônimo HOMOTIPICO
601971	131060	É sinônimo HETEROTIPICO
24315	13631	É sinônimo HOMOTIPICO
121714	13632	É sinônimo HOMOTIPICO
131064	129157	É sinônimo BASIONIMO
24546	129157	É sinônimo HOMOTIPICO
131599	131022	É sinônimo HOMOTIPICO
131065	131066	É sinônimo BASIONIMO
5327	130875	É sinônimo BASIONIMO
131016	131019	É sinônimo BASIONIMO
4689	131049	É sinônimo HOMOTIPICO
131639	131020	É sinônimo HOMOTIPICO
131868	131020	É sinônimo BASIONIMO
80362	131070	É sinônimo BASIONIMO
131316	131073	É sinônimo HOMOTIPICO
20734	102499	É sinônimo BASIONIMO
631252	131102	É sinônimo BASIONIMO
131160	131163	É sinônimo HETEROTIPICO
131654	131165	É sinônimo HOMOTIPICO
121689	131167	É sinônimo HETEROTIPICO
616199	12958	É sinônimo BASIONIMO
596408	131103	É sinônimo HOMOTIPICO
600077	131105	É sinônimo HOMOTIPICO
597798	131106	É sinônimo HOMOTIPICO
594927	131107	É sinônimo HOMOTIPICO
99075	99092	É sinônimo HETEROTIPICO
99093	99092	É sinônimo HETEROTIPICO
99076	99092	É sinônimo HETEROTIPICO
123574	99092	É sinônimo HETEROTIPICO
99091	99092	É sinônimo HETEROTIPICO
131204	99092	É sinônimo BASIONIMO
131639	131195	É sinônimo HOMOTIPICO
131868	131195	É sinônimo BASIONIMO
131784	131190	É sinônimo HOMOTIPICO
131220	131215	É sinônimo HOMOTIPICO
131208	131206	É sinônimo HETEROTIPICO
124651	131206	É sinônimo HETEROTIPICO
131869	131197	É sinônimo BASIONIMO
131276	131273	É sinônimo BASIONIMO
637771	131332	É sinônimo BASIONIMO
594455	131314	É sinônimo HOMOTIPICO
131227	131230	É sinônimo BASIONIMO
131591	131367	É sinônimo HOMOTIPICO
99268	99349	É sinônimo HOMOTIPICO
99206	99349	É sinônimo HETEROTIPICO
99266	99349	É sinônimo HETEROTIPICO
99267	130918	É sinônimo HOMOTIPICO
99269	130918	É sinônimo BASIONIMO
131427	128683	É sinônimo HETEROTIPICO
134408	131330	É sinônimo BASIONIMO
131428	131401	É sinônimo HETEROTIPICO
131596	131440	É sinônimo BASIONIMO
593024	131	É sinônimo HETEROTIPICO
612015	194	É sinônimo HETEROTIPICO
612016	194	É sinônimo HETEROTIPICO
80357	131459	É sinônimo BASIONIMO
131455	131454	É sinônimo BASIONIMO
131618	131443	É sinônimo BASIONIMO
131053	131505	É sinônimo BASIONIMO
131507	131508	É sinônimo HOMOTIPICO
131051	131504	É sinônimo BASIONIMO
131425	131426	É sinônimo HETEROTIPICO
131629	131444	É sinônimo BASIONIMO
131620	131446	É sinônimo HOMOTIPICO
106346	131533	É sinônimo BASIONIMO
77962	131536	É sinônimo BASIONIMO
131546	131547	É sinônimo BASIONIMO
25149	131547	É sinônimo HOMOTIPICO
131561	131564	É sinônimo HOMOTIPICO
131048	131570	É sinônimo BASIONIMO
106336	131570	É sinônimo HOMOTIPICO
80385	131570	É sinônimo HOMOTIPICO
26764	131532	É sinônimo HOMOTIPICO
131539	131541	É sinônimo BASIONIMO
131073	131595	É sinônimo BASIONIMO
131316	131595	É sinônimo HOMOTIPICO
600216	32173	
131548	32173	É sinônimo HOMOTIPICO
599514	32173	É sinônimo HETEROTIPICO
595146	32173	É sinônimo HETEROTIPICO
600995	32173	
134798	106174	É sinônimo BASIONIMO
122065	122064	É sinônimo HETEROTIPICO
134799	122064	É sinônimo BASIONIMO
99581	99580	É sinônimo HOMOTIPICO
638017	132749	É sinônimo HETEROTIPICO
638018	132749	É sinônimo HETEROTIPICO
638020	132749	É sinônimo HETEROTIPICO
638021	132749	É sinônimo HETEROTIPICO
638022	132749	É sinônimo HETEROTIPICO
638024	132749	É sinônimo HETEROTIPICO
638025	132749	É sinônimo BASIONIMO
638026	132749	É sinônimo HETEROTIPICO
58175	58000	
638064	132751	É sinônimo HETEROTIPICO
630958	132752	É sinônimo BASIONIMO
609281	85297	É sinônimo HOMOTIPICO
134875	99544	É sinônimo BASIONIMO
132762	7888	É sinônimo HOMOTIPICO
132957	7888	É sinônimo HETEROTIPICO
133029	7888	É sinônimo HETEROTIPICO
133039	7888	É sinônimo HETEROTIPICO
133028	7888	É sinônimo HOMOTIPICO
635051	7888	É sinônimo HETEROTIPICO
635095	7888	É sinônimo HOMOTIPICO
131764	7888	É sinônimo BASIONIMO
58509	132766	É sinônimo HETEROTIPICO
58513	132766	É sinônimo HETEROTIPICO
58507	132766	É sinônimo HETEROTIPICO
59876	132766	É sinônimo HOMOTIPICO
608865	9601	É sinônimo HOMOTIPICO
9641	9601	É sinônimo HETEROTIPICO
609642	9601	É sinônimo HETEROTIPICO
91761	132767	É sinônimo HOMOTIPICO
91764	132767	É sinônimo HOMOTIPICO
637189	132767	É sinônimo HOMOTIPICO
123615	132808	É sinônimo HETEROTIPICO
132119	132769	É sinônimo BASIONIMO
132898	132818	É sinônimo HOMOTIPICO
595558	16900	É sinônimo HETEROTIPICO
86876	13359	É sinônimo HETEROTIPICO
611676	5376	É sinônimo HETEROTIPICO
636256	5376	É sinônimo BASIONIMO
29184	132952	É sinônimo BASIONIMO
29194	132953	É sinônimo BASIONIMO
17513	132954	É sinônimo BASIONIMO
35942	132955	É sinônimo HOMOTIPICO
54606	132955	É sinônimo BASIONIMO
56492	132955	É sinônimo HETEROTIPICO
133682	133680	
133675	133674	
133676	133674	
133686	133685	
134683	133662	
133702	133716	É sinônimo BASIONIMO
134679	133659	
134733	133697	
134736	133700	
641731	133741	É sinônimo HOMOTIPICO
641732	133741	É sinônimo HOMOTIPICO
641734	133741	É sinônimo HOMOTIPICO
641736	133741	É sinônimo HOMOTIPICO
641737	133741	É sinônimo HETEROTIPICO
641738	133741	É sinônimo HETEROTIPICO
641739	133741	É sinônimo HETEROTIPICO
641740	133741	É sinônimo HETEROTIPICO
641741	133741	É sinônimo HETEROTIPICO
641742	133741	É sinônimo HETEROTIPICO
56854	17662	É sinônimo HETEROTIPICO
57213	17662	É sinônimo HETEROTIPICO
100438	100436	É sinônimo BASIONIMO
109947	109910	É sinônimo BASIONIMO
99043	99041	É sinônimo BASIONIMO
641521	32313	É sinônimo BASIONIMO
641522	32313	É sinônimo HOMOTIPICO
40422	26370	É sinônimo HOMOTIPICO
26363	26370	É sinônimo BASIONIMO
40347	26370	É sinônimo HETEROTIPICO
40351	26370	É sinônimo HETEROTIPICO
40148	26370	É sinônimo HOMOTIPICO
40149	26370	É sinônimo HOMOTIPICO
40648	26370	É sinônimo HETEROTIPICO
40647	26370	É sinônimo HETEROTIPICO
604468	26370	É sinônimo HETEROTIPICO
133824	133812	
133832	133812	
133822	133823	
133826	133825	
133830	133825	
25111	4379	É sinônimo BASIONIMO
40666	4379	É sinônimo HETEROTIPICO
133790	4379	É sinônimo HETEROTIPICO
40205	4379	É sinônimo HOMOTIPICO
40665	4379	É sinônimo HETEROTIPICO
40344	4379	É sinônimo HETEROTIPICO
40105	4379	É sinônimo HETEROTIPICO
133836	133837	
40344	25111	É sinônimo HETEROTIPICO
40665	25111	É sinônimo HETEROTIPICO
40205	25111	É sinônimo HOMOTIPICO
40666	25111	É sinônimo HETEROTIPICO
133790	25111	É sinônimo HETEROTIPICO
4361	4355	É sinônimo HETEROTIPICO
40090	4355	É sinônimo BASIONIMO
40144	4355	É sinônimo HETEROTIPICO
40421	4355	É sinônimo HETEROTIPICO
40254	4355	É sinônimo HETEROTIPICO
40092	4355	É sinônimo HETEROTIPICO
40255	4355	É sinônimo HETEROTIPICO
40386	4355	É sinônimo HETEROTIPICO
40451	4355	É sinônimo HETEROTIPICO
40207	4355	É sinônimo HETEROTIPICO
40256	4355	É sinônimo HETEROTIPICO
40617	4355	É sinônimo HETEROTIPICO
40385	4355	É sinônimo HETEROTIPICO
40155	4355	É sinônimo HETEROTIPICO
133844	4355	É sinônimo HETEROTIPICO
133847	4355	É sinônimo HETEROTIPICO
40091	4355	É sinônimo HETEROTIPICO
134435	4355	É sinônimo HETEROTIPICO
602308	4355	É sinônimo HETEROTIPICO
40436	4355	É sinônimo HETEROTIPICO
33487	4355	É sinônimo HETEROTIPICO
40181	4355	É sinônimo HETEROTIPICO
40182	4355	É sinônimo HETEROTIPICO
26368	4355	É sinônimo HETEROTIPICO
40566	4355	É sinônimo HOMOTIPICO
40117	4359	É sinônimo BASIONIMO
40567	4359	É sinônimo HETEROTIPICO
40140	4359	É sinônimo HETEROTIPICO
40615	4359	É sinônimo HOMOTIPICO
40143	4359	É sinônimo HETEROTIPICO
40232	4359	É sinônimo HETEROTIPICO
28974	133261	É sinônimo BASIONIMO
68625	133872	É sinônimo BASIONIMO
68617	133858	É sinônimo BASIONIMO
65314	133856	É sinônimo BASIONIMO
68631	133875	É sinônimo BASIONIMO
21751	40293	É sinônimo HETEROTIPICO
100440	116128	É sinônimo HETEROTIPICO
100461	116128	É sinônimo HETEROTIPICO
100451	116128	É sinônimo HETEROTIPICO
100465	116128	É sinônimo HETEROTIPICO
100464	116128	É sinônimo HETEROTIPICO
100452	116128	É sinônimo HETEROTIPICO
116250	116128	É sinônimo HETEROTIPICO
100457	116128	É sinônimo HETEROTIPICO
100459	116128	É sinônimo HETEROTIPICO
100453	116128	É sinônimo HETEROTIPICO
100458	116128	É sinônimo HETEROTIPICO
131138	116128	É sinônimo HETEROTIPICO
131144	116128	É sinônimo HETEROTIPICO
100454	116128	
100466	116128	
100467	116128	
641811	133909	É sinônimo HETEROTIPICO
641812	133909	É sinônimo HETEROTIPICO
641813	133909	É sinônimo HETEROTIPICO
641814	133909	É sinônimo HETEROTIPICO
129267	20536	É sinônimo HETEROTIPICO
120852	20536	É sinônimo HETEROTIPICO
20552	126468	É sinônimo BASIONIMO
129921	126468	É sinônimo HETEROTIPICO
48736	48624	É sinônimo BASIONIMO
129898	129901	É sinônimo HOMOTIPICO
62727	129905	É sinônimo HOMOTIPICO
24387	129906	É sinônimo HETEROTIPICO
71453	129906	É sinônimo HETEROTIPICO
71463	129906	É sinônimo HETEROTIPICO
120262	129908	É sinônimo HETEROTIPICO
26039	129913	É sinônimo HOMOTIPICO
129890	129884	É sinônimo BASIONIMO
30247	129884	É sinônimo HETEROTIPICO
30248	129884	É sinônimo HETEROTIPICO
132144	129884	É sinônimo HETEROTIPICO
64244	31776	É sinônimo BASIONIMO
138402	129967	É sinônimo HETEROTIPICO
579525	95974	É sinônimo HETEROTIPICO
579548	95974	É sinônimo HOMOTIPICO
579554	95974	É sinônimo HETEROTIPICO
579566	95974	É sinônimo HETEROTIPICO
13410	129969	É sinônimo BASIONIMO
595053	24319	É sinônimo HETEROTIPICO
605351	24319	É sinônimo HETEROTIPICO
605352	24319	É sinônimo HETEROTIPICO
605353	24319	É sinônimo HETEROTIPICO
608553	130029	É sinônimo HOMOTIPICO
130044	108715	É sinônimo BASIONIMO
130038	108718	É sinônimo BASIONIMO
130047	108720	É sinônimo BASIONIMO
130049	108722	É sinônimo BASIONIMO
130051	108723	É sinônimo BASIONIMO
130067	108723	É sinônimo HETEROTIPICO
130059	13640	É sinônimo BASIONIMO
130061	13641	É sinônimo BASIONIMO
130048	108721	É sinônimo BASIONIMO
130065	13642	É sinônimo BASIONIMO
130066	13642	É sinônimo HETEROTIPICO
130056	13639	É sinônimo BASIONIMO
605699	13639	É sinônimo HOMOTIPICO
23243	130074	É sinônimo HOMOTIPICO
131415	130074	É sinônimo HETEROTIPICO
130681	130074	É sinônimo BASIONIMO
84006	130073	É sinônimo HOMOTIPICO
130689	130073	É sinônimo BASIONIMO
13229	130082	É sinônimo BASIONIMO
130055	78358	É sinônimo BASIONIMO
130046	108717	É sinônimo BASIONIMO
130057	108727	É sinônimo BASIONIMO
130063	108731	É sinônimo BASIONIMO
130064	13643	É sinônimo BASIONIMO
581626	96948	É sinônimo HETEROTIPICO
581629	96948	É sinônimo HOMOTIPICO
581660	96948	É sinônimo HETEROTIPICO
581615	96948	É sinônimo HOMOTIPICO
50804	130097	
51188	130101	
131325	130112	É sinônimo BASIONIMO
50970	130112	É sinônimo HETEROTIPICO
17247	7265	É sinônimo HETEROTIPICO
50159	7265	É sinônimo BASIONIMO
50195	7265	É sinônimo HETEROTIPICO
50201	7265	É sinônimo HETEROTIPICO
51919	7265	É sinônimo HETEROTIPICO
50196	7265	É sinônimo HETEROTIPICO
50184	7265	É sinônimo HETEROTIPICO
50177	7265	É sinônimo HETEROTIPICO
50161	7265	É sinônimo HETEROTIPICO
50160	7265	É sinônimo HETEROTIPICO
51764	7265	É sinônimo HETEROTIPICO
51809	7265	É sinônimo HETEROTIPICO
51872	7265	É sinônimo HETEROTIPICO
51732	7265	É sinônimo HETEROTIPICO
51773	7265	É sinônimo HOMOTIPICO
51774	7265	É sinônimo HETEROTIPICO
51775	7265	É sinônimo HETEROTIPICO
51720	17251	É sinônimo HETEROTIPICO
51811	17251	É sinônimo HETEROTIPICO
51366	17251	É sinônimo HOMOTIPICO
51953	17251	É sinônimo BASIONIMO
135500	134217	É sinônimo BASIONIMO
101109	134216	É sinônimo BASIONIMO
135501	134215	É sinônimo BASIONIMO
85545	134263	É sinônimo BASIONIMO
104593	134263	É sinônimo HETEROTIPICO
615310	134303	É sinônimo HETEROTIPICO
638117	134303	É sinônimo HETEROTIPICO
637868	134317	É sinônimo BASIONIMO
134339	134337	
134333	134334	
134277	134272	
109532	134307	É sinônimo HOMOTIPICO
624884	134344	
16560	134365	É sinônimo BASIONIMO
599354	134365	É sinônimo HETEROTIPICO
599852	134365	É sinônimo HETEROTIPICO
599212	134365	É sinônimo HETEROTIPICO
27595	134365	É sinônimo HETEROTIPICO
103200	134365	É sinônimo HETEROTIPICO
597575	134365	É sinônimo HETEROTIPICO
16561	134366	É sinônimo BASIONIMO
600562	134366	É sinônimo HETEROTIPICO
27598	134367	É sinônimo BASIONIMO
600179	134367	É sinônimo BASIONIMO
103197	134368	É sinônimo HETEROTIPICO
134134	134368	É sinônimo BASIONIMO
600377	134368	É sinônimo HETEROTIPICO
600530	134368	É sinônimo HETEROTIPICO
134381	134356	
134346	134345	
134351	134350	
134418	134383	
134392	134390	
123942	134370	É sinônimo BASIONIMO
128537	134436	É sinônimo HETEROTIPICO
91453	134436	É sinônimo HETEROTIPICO
134343	134342	
50391	130467	É sinônimo HETEROTIPICO
134431	134430	É sinônimo BASIONIMO
133241	115486	É sinônimo HETEROTIPICO
99549	99548	É sinônimo HETEROTIPICO
134468	99548	É sinônimo BASIONIMO
134457	134458	
129349	121269	É sinônimo BASIONIMO
134469	134465	
134472	134465	
40092	134435	É sinônimo HETEROTIPICO
107932	122827	É sinônimo HOMOTIPICO
114754	122827	É sinônimo BASIONIMO
107928	122828	É sinônimo BASIONIMO
115093	115081	É sinônimo BASIONIMO
115098	115081	É sinônimo HETEROTIPICO
120486	120485	É sinônimo BASIONIMO
50414	7196	É sinônimo HETEROTIPICO
17274	7196	É sinônimo HOMOTIPICO
48929	7196	É sinônimo HOMOTIPICO
50263	7196	É sinônimo HOMOTIPICO
52587	7196	É sinônimo HETEROTIPICO
52588	7196	É sinônimo HETEROTIPICO
52589	7196	É sinônimo HETEROTIPICO
52590	7196	É sinônimo HETEROTIPICO
51921	7196	É sinônimo HOMOTIPICO
52047	7196	É sinônimo BASIONIMO
52099	7196	É sinônimo HETEROTIPICO
52266	7196	É sinônimo HETEROTIPICO
52233	7196	É sinônimo HETEROTIPICO
51819	7196	É sinônimo HETEROTIPICO
134481	99467	É sinônimo BASIONIMO
134593	134488	
134504	134502	É sinônimo BASIONIMO
637949	115050	É sinônimo HOMOTIPICO
641815	133909	É sinônimo HETEROTIPICO
641816	133909	É sinônimo HETEROTIPICO
641817	133909	É sinônimo HETEROTIPICO
641818	133909	É sinônimo HETEROTIPICO
641819	133909	É sinônimo HETEROTIPICO
641820	133909	É sinônimo HETEROTIPICO
99989	123632	É sinônimo HOMOTIPICO
99990	123632	É sinônimo HOMOTIPICO
133921	133920	É sinônimo HOMOTIPICO
135467	133920	É sinônimo BASIONIMO
133869	133870	É sinônimo BASIONIMO
30118	132549	É sinônimo HOMOTIPICO
596954	132549	É sinônimo HOMOTIPICO
8234	132559	É sinônimo BASIONIMO
58669	132560	É sinônimo HETEROTIPICO
58819	132560	É sinônimo HETEROTIPICO
58696	132560	É sinônimo HETEROTIPICO
58694	132560	É sinônimo HETEROTIPICO
58670	132560	É sinônimo HETEROTIPICO
58858	132560	É sinônimo HETEROTIPICO
58879	132560	É sinônimo HETEROTIPICO
58895	132560	É sinônimo HETEROTIPICO
58901	132560	É sinônimo HETEROTIPICO
58915	132560	É sinônimo HETEROTIPICO
58917	132560	É sinônimo HETEROTIPICO
59360	132560	É sinônimo HOMOTIPICO
59467	132560	É sinônimo BASIONIMO
58827	132560	É sinônimo HETEROTIPICO
58828	132560	É sinônimo HETEROTIPICO
58829	132560	É sinônimo HETEROTIPICO
58830	132560	É sinônimo HETEROTIPICO
58831	132560	É sinônimo HETEROTIPICO
58832	132560	É sinônimo HETEROTIPICO
58833	132560	É sinônimo HETEROTIPICO
58834	132560	É sinônimo HETEROTIPICO
58859	132560	É sinônimo HETEROTIPICO
58902	132560	É sinônimo HETEROTIPICO
58903	132560	É sinônimo HETEROTIPICO
58904	132560	É sinônimo HETEROTIPICO
58905	132560	É sinônimo HETEROTIPICO
8235	132560	É sinônimo HOMOTIPICO
59222	132560	É sinônimo HETEROTIPICO
59235	132560	É sinônimo HETEROTIPICO
59361	132560	É sinônimo HETEROTIPICO
59362	132560	É sinônimo HETEROTIPICO
59363	132560	É sinônimo HETEROTIPICO
59800	132560	É sinônimo HETEROTIPICO
59414	132560	É sinônimo HETEROTIPICO
58674	132560	É sinônimo HETEROTIPICO
30124	132562	É sinônimo HETEROTIPICO
58747	132562	É sinônimo HETEROTIPICO
58646	132562	É sinônimo HETEROTIPICO
59385	132562	É sinônimo HOMOTIPICO
58864	132562	É sinônimo HETEROTIPICO
59390	132562	É sinônimo HETEROTIPICO
8241	132562	É sinônimo BASIONIMO
58880	132565	É sinônimo HETEROTIPICO
59399	132565	É sinônimo HOMOTIPICO
8249	132565	É sinônimo BASIONIMO
30166	132566	É sinônimo BASIONIMO
59417	132567	É sinônimo HOMOTIPICO
8256	132567	É sinônimo BASIONIMO
58705	132583	É sinônimo HETEROTIPICO
59242	132583	É sinônimo HETEROTIPICO
59260	132583	É sinônimo HOMOTIPICO
8202	132583	É sinônimo BASIONIMO
58654	132591	É sinônimo HETEROTIPICO
58677	132591	É sinônimo HETEROTIPICO
58686	132591	É sinônimo HETEROTIPICO
58661	132591	É sinônimo HETEROTIPICO
58665	132591	É sinônimo HETEROTIPICO
58687	132591	É sinônimo HETEROTIPICO
58770	132591	É sinônimo HETEROTIPICO
58800	132591	É sinônimo HETEROTIPICO
58871	132591	É sinônimo HETEROTIPICO
58882	132591	É sinônimo HETEROTIPICO
30164	132591	É sinônimo HETEROTIPICO
58883	132591	É sinônimo HETEROTIPICO
58912	132591	É sinônimo HETEROTIPICO
30172	132591	É sinônimo HETEROTIPICO
59206	132591	É sinônimo HETEROTIPICO
59215	132591	É sinônimo HETEROTIPICO
59218	132591	É sinônimo HETEROTIPICO
59228	132591	É sinônimo HETEROTIPICO
59302	132591	É sinônimo HETEROTIPICO
59333	132591	É sinônimo HETEROTIPICO
59395	132591	É sinônimo HETEROTIPICO
59442	132591	É sinônimo HETEROTIPICO
76859	132591	É sinônimo HETEROTIPICO
8251	132591	É sinônimo BASIONIMO
59401	132591	É sinônimo HOMOTIPICO
59281	132604	É sinônimo HOMOTIPICO
8209	132604	É sinônimo BASIONIMO
58717	132607	É sinônimo HETEROTIPICO
59304	132607	É sinônimo HOMOTIPICO
30143	132607	É sinônimo BASIONIMO
59253	132607	É sinônimo HETEROTIPICO
59372	132607	É sinônimo HETEROTIPICO
30155	132607	É sinônimo HETEROTIPICO
59384	132609	É sinônimo HOMOTIPICO
17896	132609	É sinônimo BASIONIMO
59434	132610	É sinônimo HETEROTIPICO
59441	132610	É sinônimo HOMOTIPICO
58923	132610	É sinônimo HETEROTIPICO
8267	132610	É sinônimo BASIONIMO
59230	132612	É sinônimo HOMOTIPICO
8195	132612	É sinônimo BASIONIMO
36536	132582	É sinônimo BASIONIMO
59423	132569	É sinônimo HOMOTIPICO
134848	132569	É sinônimo BASIONIMO
30120	132590	É sinônimo HETEROTIPICO
59234	132590	É sinônimo HETEROTIPICO
59380	132590	É sinônimo HOMOTIPICO
8240	132590	É sinônimo BASIONIMO
59408	132596	É sinônimo HOMOTIPICO
17900	132596	É sinônimo BASIONIMO
59312	132587	É sinônimo HOMOTIPICO
36553	132587	É sinônimo BASIONIMO
59343	132557	É sinônimo HOMOTIPICO
8226	132557	É sinônimo BASIONIMO
134847	132561	É sinônimo BASIONIMO
36575	132570	É sinônimo BASIONIMO
58666	132571	É sinônimo HETEROTIPICO
30171	132571	É sinônimo BASIONIMO
59219	132571	É sinônimo HETEROTIPICO
58863	132585	É sinônimo HETEROTIPICO
58788	132585	É sinônimo HETEROTIPICO
30128	132585	É sinônimo BASIONIMO
8220	132613	É sinônimo BASIONIMO
59342	132614	É sinônimo HOMOTIPICO
17889	132614	É sinônimo BASIONIMO
17903	132616	É sinônimo BASIONIMO
59322	132618	É sinônimo HOMOTIPICO
17887	132618	É sinônimo BASIONIMO
17877	132584	É sinônimo BASIONIMO
36535	132581	É sinônimo BASIONIMO
59251	132581	É sinônimo HOMOTIPICO
30129	132586	É sinônimo BASIONIMO
8259	132599	É sinônimo BASIONIMO
36574	132601	É sinônimo BASIONIMO
17907	132601	É sinônimo HOMOTIPICO
58679	132625	É sinônimo HETEROTIPICO
59224	132625	É sinônimo HETEROTIPICO
59349	132625	É sinônimo HOMOTIPICO
618122	133914	É sinônimo BASIONIMO
618062	133919	É sinônimo BASIONIMO
135467	133921	É sinônimo BASIONIMO
618111	133912	É sinônimo BASIONIMO
7254	133952	É sinônimo HETEROTIPICO
133953	133952	É sinônimo BASIONIMO
53630	133967	É sinônimo HETEROTIPICO
53631	133967	É sinônimo HETEROTIPICO
53184	133967	É sinônimo BASIONIMO
53417	133967	É sinônimo HOMOTIPICO
35517	133967	É sinônimo HOMOTIPICO
17381	133967	É sinônimo HETEROTIPICO
92481	133993	É sinônimo HOMOTIPICO
107702	133949	É sinônimo HETEROTIPICO
134730	134075	
134095	134089	É sinônimo HOMOTIPICO
