id	identifier	bibliographicCitation	title	creator	date	type
108974		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108976		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108977		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108978		Hoehnea,16: 35-55,1989	Hoehnea	Menezes, M. & Fernandes, V.O.	1989	
108979		1997		Carvalho, A.M.	1997	
108980		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108981		Rev. bras. Bioc.,5(2): 522-524,2007	Rev. bras. Bioc.	Alves-da-Silva, S.M.	2007	
108982		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108983		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108984		1997		Carvalho, A.M.	1997	
108985		Hoehnea,26(1): 47-60,1999	Hoehnea	Alves-da-Silva, S.M. & Crossetti, L.O.	1999	
108987		Iheringia, Bot.,46: 27-56,1995	Iheringia, Bot.	Alves-da-Silva, S.M. & Reis, J.R.	1995	
108988		Med. Repos.,5: 354,1808	Med. Repos.	Rafinesque, C.S.	1808	
108989		Amazoniana,2: 243-283,1974	Amazoniana	Uherkovich, G. & Schmidt, G.W.	1974	
108990		Amazoniana,2: 243-283,1974	Amazoniana	Uherkovich, G. & Schmidt, G.W.	1974	
108992		Amazoniana,2: 243-283,1974	Amazoniana	Uherkovich, G. & Schmidt, G.W.	1974	
108993		Amazoniana,2: 243-283,1974	Amazoniana	Uherkovich, G. & Schmidt, G.W.	1974	
